Player,Team,2p%,3p%,ft%,min%
Day'Ron Sharpe,BKN,0.587,0.267,0.61,0.234
Haywood Highsmith,MIA,0.562,0.396,0.639,0.347
Jose Alvarado,NOP,0.465,0.377,0.673,0.261
Jonathan Isaac,ORL,0.597,0.375,0.72,0.232
Isaiah Jackson,IND,0.677,0.0,0.716,0.196
Tre Mann,CHA,0.516,0.373,0.763,0.251
Malachi Flynn,DET,0.512,0.331,0.732,0.223
Davion Mitchell,SAC,0.539,0.361,0.714,0.28
Drew Eubanks,PHX,0.596,1.0,0.774,0.297
Jake LaRavia,MEM,0.441,0.34,0.826,0.205
Daniel Theis,LAC,0.585,0.366,0.76,0.258
Kris Murray,POR,0.524,0.268,0.661,0.343
Gary Harris,ORL,0.597,0.371,0.756,0.33
Dennis Smith Jr.,BKN,0.502,0.294,0.741,0.269
Jordan Goodwin,MEM,0.411,0.298,0.746,0.268
Jordan Nwora,TOR,0.56,0.336,0.83,0.181
Quentin Grimes,DET,0.465,0.338,0.756,0.26
Jevon Carter,CHI,0.466,0.329,0.571,0.255
Kris Dunn,UTA,0.526,0.369,0.688,0.317
Dyson Daniels,NOP,0.551,0.311,0.642,0.345
Matisse Thybulle,POR,0.534,0.346,0.759,0.378
Nikola Jović,MIA,0.525,0.399,0.702,0.228
Doug McDermott,IND,0.529,0.41,0.579,0.23
Larry Nance Jr.,NOP,0.631,0.415,0.77,0.309
Christian Wood,LAL,0.587,0.307,0.702,0.221
Markelle Fultz,ORL,0.487,0.222,0.697,0.231
Kevon Looney,GSW,0.6,0.0,0.675,0.304
Luke Kornet,BOS,0.699,1.0,0.907,0.25
Chimezie Metu,DET,0.633,0.298,0.906,0.218
Landry Shamet,WAS,0.556,0.338,0.826,0.185
Garrison Mathews,ATL,0.55,0.44,0.81,0.252
Kenrich Williams,OKC,0.54,0.397,0.5,0.261
Chris Boucher,TOR,0.642,0.33,0.772,0.179
Nicolas Batum,PHI,0.604,0.395,0.714,0.389
Anthony Black,ORL,0.51,0.394,0.613,0.296
Marcus Morris Sr.,CLE,0.469,0.403,0.818,0.208
Jae Crowder,MIL,0.539,0.349,0.722,0.294
Goga Bitadze,ORL,0.636,0.143,0.655,0.243
Keon Ellis,SAC,0.577,0.417,0.743,0.249
Jaxson Hayes,LAL,0.754,0.0,0.622,0.223
Torrey Craig,CHI,0.489,0.392,0.75,0.266
Bryce McGowens,CHA,0.523,0.333,0.776,0.224
Nick Smith Jr.,CHA,0.349,0.432,0.867,0.185
Joe Ingles,ORL,0.438,0.435,0.824,0.297
Taylor Hendricks,UTA,0.549,0.379,0.793,0.218
