,Player,Team,Min,FG%,3P%,FT%,min%
179,Duop Reath,POR,1214.1,46.1,35.9,74.2,30.85
180,Malcolm Brogdon,POR,1120.8,44,41.2,81.9,28.48
181,Royce O'Neale,PHX,1954.2,39.7,37,68.6,49.65
182,Wendell Carter Jr.,ORL,1406.3,52.5,37.4,69.4,35.73
183,Jalen Smith,IND,1046.6,59.2,42.4,69.2,26.59
184,Christian Braun,DEN,1655.6,46,38.4,69.4,42.06
184,Paul Reed,PHI,1589.5,54,36.8,71.8,40.38
186,Amen Thompson,HOU,1388.5,53.6,13.8,68.4,35.28
187,Marcus Sasser,DET,1351.1,42.8,37.5,87.9,34.33
188,Marvin Bagley III,WAS,1053.4,58.6,39.1,76.2,26.76
189,Isaiah Hartenstein,NYK,1896.3,64.4,33.3,70.7,48.18
190,Dorian Finney-Smith,BKN,1934.6,42.1,34.8,71.7,49.15
191,Cam Whitmore,HOU,880.3,45.4,35.9,67.9,22.37
192,Cameron Payne,PHI,1304.1,43.2,39,86.6,33.13
193,Lonnie Walker IV,BKN,1011.1,42.3,38.4,76.3,25.69
193,Precious Achiuwa,NYK,1623.8,50.1,26.8,61.6,41.26
195,Al Horford,BOS,1739.8,51.1,41.9,86.7,44.20
195,Miles McBride,NYK,1327.7,45.2,41,86,33.73
197,Cason Wallace,OKC,1691.9,49.1,41.9,78.4,42.99
197,Onyeka Okongwu,ATL,1404.7,61.1,33.3,79.3,35.69
199,Dalano Banton,POR,1046.8,40.4,29.6,78.3,26.60
200,Ausar Thompson,DET,1582.8,48.3,18.6,59.7,40.21
201,Jakob Poeltl,TOR,1319.1,65.6,0,55.1,33.51
202,Aaron Wiggins,OKC,1227.9,56.2,49.2,78.9,31.20
203,Trayce Jackson-Davis,GSW,1130.5,70.2,0,56.1,28.72
204,Chris Paul,GSW,1530.9,44.1,37.1,82.7,38.89
204,Moses Moody,GSW,1155.9,46.2,36,78.5,29.37
206,Bilal Coulibaly,WAS,1715.3,43.5,34.6,70.2,43.58
206,Peyton Watson,DEN,1487.8,46.5,29.6,67,37.80
208,Jaden Hardy,DAL,989.2,40.7,36.2,77.6,25.13
209,Toumani Camara,POR,1739.3,45,33.7,75.8,44.19
210,LaMelo Ball,CHA,711.4,43.3,35.5,86.5,18.07
211,Jordan Hawkins,NOP,1160.6,38.2,36.6,83.8,29.49
212,Vince Williams Jr.,MEM,1436.5,44.6,37.8,80,36.50
213,Walker Kessler,UTA,1493.1,65.4,21.1,60.2,37.93
214,Talen Horton-Tucker,UTA,1008.7,39.6,33,80.7,25.63
215,Dario Šarić,GSW,1097.8,46.6,37.6,84.9,27.89
216,Aaron Holiday,HOU,1269.3,44.6,38.7,92.1,32.25
217,Gradey Dick,TOR,1267.7,42.5,36.5,86.3,32.21
217,Shaedon Sharpe,POR,1059,40.6,33.3,82.4,26.91
219,Jeff Green,HOU,1307.3,45.6,33.1,81.9,33.21
220,Kyle Anderson,MIN,1781.9,46,22.9,70.8,45.27
221,Julian Champagnie,SAS,1467.9,40.8,36.5,81.5,37.29
222,Isaiah Stewart,DET,1422.8,48.7,38.3,75.3,36.15
